tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***11036,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0807,E/S,ALBANY AVE,N/O,WELLS ST,ON
***20121,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0807,NR,2994 DUNDAS ST W,,,AZ
***20122,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0807,NR,3001 DUNDAS ST W,,,ON
***56550,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0807,OPP,111 PETER ST,,,ON
***58094,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0807,NR,2648 EGLINTON AVE W,,,ON
***85280,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0807,NR,2626 DANFORTH AVE,,,ON
***87187,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0807,NR,446 SPADINA RD,,,ON
***88798,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0807,NR,138 WELLESLEY ST E,,,ON
***39001,20100102,314,PARK - NOT WITHIN PERIOD  ,30,0808,,11 KENWOOD AV,,,ON
***67175,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,NR,50 MERTON ST,,,ON
***91853,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0808,NR,81 ROBERT ST,,,OH
***64397,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,NR,29 SOUTH STATION ST,,,ON
***84153,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,NR,192 SPADINA AVE,,,ON
***11568,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,NR,1385 DANFORTH AVE,,,ON
***18961,20100102,337,PARK - ON BOULEVARD,50,0808,NR,85 ROBBINSTONE DR,,,ON
***20123,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,NR,3001 DUNDAS ST W,,,ON
***20124,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,NR,3001 DUNDAS ST W,,,ON
***28104,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,NR,1969 QUEEN ST E,,,ON
***45624,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,OPP,15 ELM ST,,,ON
***73592,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,NR,651 QUEEN ST E,,,ON
***73791,20100102,338,PARK - BETWEEN ROAD & SIDEWALK,50,0808,NR,100 HICKORYNUT DR,,,ON
***88799,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,NR,110 WELLESLEY ST E,,,ON
***88800,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0808,NR,110 WELLESLEY ST E,,,ON
***64398,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0809,NR,29 SOUTH STATION ST,,,QC
***64399,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0809,NR,29 SOUTH STATION ST,,,ON
***68465,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0809,NR,59 ADELAIDE ST E,,,ON
***84154,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0809,NR,192 SPADINA AVE,,,ON
***11569,20100102,1,PARK-FAIL TO DEPOSIT FEE METER,30,0809,NR,1435 DANFORTH AVE,,,ON
***45625,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0809,OPP,33 ELM ST,,,ON
***58095,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0809,NR,2506 EGLINTON AVE W,,,FL
***73593,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0809,NR,655 QUEEN ST E,,,ON
***86559,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0809,NR,955 QUEEN ST W,,,ON
***87188,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0809,NR,333 LONSDALE RD,,,ON
***64400,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0810,NR,29 SOUTH STATION ST,,,ON
***75223,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0810,NR,145 MUTUAL ST,,,ON
***11037,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0810,NR,221 HOWLAND AVE,,,ON
***18962,20100102,337,PARK - ON BOULEVARD,50,0810,NR,159 MALVERN ST,,,ON
***21125,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0810,NR,21 VAUGHAN RD,,,ON
***28105,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0810,NR,2199 QUEEN ST E,,,ON
***45626,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0810,OPP,33 ELM ST,,,ON
***85281,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0810,NR,2402 DANFORTH AVE,,,ON
***87189,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0810,NR,345 LONSDALE RD,,,ON
***68466,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0811,NR,330 ADELAIDE ST E,,,ON
***75224,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0811,NR,160 MUTUAL ST,,,ON
***20125,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0811,NR,3069 DUNDAS ST W,,,ON
***20126,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0811,NR,3045 DUNDAS ST W,,,QC
***21126,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0811,NR,21 VAUGHAN RD,,,ON
***85282,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0811,OPP,2494 DANFORTH AVE,,,ON
***86560,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0811,NR,900 QUEEN ST W,,,ON
***39002,20100102,314,PARK - NOT WITHIN PERIOD  ,30,0812,,11 KENWOOD AV,,,ON
***75225,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0812,NR,160 MUTUAL ST,,,ON
***75226,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0812,NR,160 MUTUAL ST,,,ON
***11570,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0812,NR,1627 DANFORTH AVE,,,ON
***18963,20100102,337,PARK - ON BOULEVARD,50,0812,NR,161 MALVERN ST,,,ON
***21127,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0812,NR,21 VAUGHAN RD,,,ON
***23831,20100102,5,PARK HWY PROHIBITED TIMES/DAYS,40,0812,NR,23 CHANNING PL,,,ON
***28106,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0812,NR,2241 QUEEN ST E,,,ON
***85283,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0812,NR,2505 DANFORTH AVE,,,ON
***88801,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0812,NR,460 JARVIS ST,,,ON
***75227,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0813,NR,160 MUTUAL ST,,,ON
***84155,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0813,NR,429 SPADINA AVE,,,ON
***11571,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0813,NR,1781 DANFORTH AVE,,,ON
***20127,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0813,NR,3148 DUNDAS ST W,,,ON
***28107,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0813,NR,2239 QUEEN ST E,,,ON
***56551,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0813,OPP,20 KING ST W,,,ON
***73594,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0813,NR,909 QUEEN ST E,,,ON
***86070,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0813,NR,627 QUEEN ST W,,,ON
***86561,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0813,NR,1018 QUEEN ST W,,,ON
***68467,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0814,NR,412 RICHMOND ST E,,,ON
***75228,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0814,NR,160 MUTUAL ST,,,ON
***20128,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0814,NR,3152 DUNDAS ST W,,,ON
***21128,20100102,8,STD VEH HWY PROHIB TIME/DAY,60,0814,NR,650 CHRISTIE ST,,,ON
***23832,20100102,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,0814,NR,83 WOOLENSCOTE CRCL,,,ON
***56552,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0814,OPP,20 KING ST W,,,ON
***85284,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0814,NR,2517 DANFORTH AVE,,,ON
***88802,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0814,NR,344 JARVIS ST,,,ON
***67176,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0815,OPP,88 REDPATH AVE,,,ON
***68468,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0815,NR,230 RICHMOND ST E,,,ON
***28108,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0815,NR,2359 QUEEN ST E,,,ON
***73595,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0815,NR,367 CARLAW AVE,,,ON
***86071,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0815,NR,627 QUEEN ST W,,,NY
***88803,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0815,NR,298 JARVIS ST,,,ON
***91854,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0816,NR,18 CROFT ST,,,ON
***68469,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0816,NR,230 RICHMOND ST E,,,ON
***07976,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0816,NR,25 HIGHBOURNE RD,,,ON
***11572,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0816,OPP,1938 DANFORTH AVE,,,ON
***20129,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0816,NR,3252 DUNDAS ST W,,,ON
***88804,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0816,NR,298 JARVIS ST,,,ON
***11038,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0817,NR,25 HOWLAND AVE,,,ON
***21129,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0817,NR,144 WYCHWOOD AVE,,,AB
***86562,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0817,NR,1154 QUEEN ST W,,,ON
***86563,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0817,NR,1164 QUEEN ST W,,,ON
***75229,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0818,NR,222 JARVIS ST,,,ON
***75230,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0818,NR,222 JARVIS ST,,,ON
***20130,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0818,NR,3274 DUNDAS ST W,,,ON
***45627,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0818,OPP,71 ST MARY ST,,,QC
***68470,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0819,NR,47 COLBORNE ST,,,ON
***75231,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0819,NR,222 JARVIS ST,,,ON
***11039,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0819,NR,61 HOWLAND AVE,,,ON
***20131,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0819,NR,3325 DUNDAS ST W,,,ON
***45628,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0819,OPP,70 ST MARY ST,,,ON
***58096,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0819,NR,1219 WESTON RD,,,ON
***58097,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0819,NR,1229 WESTON RD,,,ON
***73792,20100102,5,PARK HWY AT PROHIB TIME/DAY,40,0819,OPP,53 RAYOAK DR,,,ON
***88805,20100102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,0819,OPP,325 JARVIS ST,,,ON
***91855,20100102,15,PARK 3M OF FIRE HYDRANT,100,0820,NR,91 BELLEVUE AVE,,,ON
***75232,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0820,NR,222 JARVIS ST,,,ON
***75233,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0820,NR,222 JARVIS ST,,,ON
***28109,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0820,NR,926 KINGSTON RD,,,ON
***56553,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0820,NR,82 PETER ST,,,ON
***58098,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0820,NR,1231 WESTON RD,,,ON
***73596,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0820,NR,1013 QUEEN ST E,,,ON
***88806,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0820,OPP,325 JARVIS ST,,,ON
***68471,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0821,NR,2 COLBORNE ST,,,ON
***68472,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0821,NR,2 COLBORNE ST,,,QC
***11573,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0821,NR,292 MAIN ST,,,ON
***56554,20100102,192,STAND SIGNED TRANSIT STOP,60,0821,NR,297 KING ST W,,,ON
***58099,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0821,NR,1235 WESTON RD,,,ON
***86564,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0821,NR,1280 QUEEN ST W,,,ON
***88807,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0821,NR,262 JARVIS ST,,,ON
***64401,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0822,NR,1966 WESTON RD,,,ON
***07977,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0822,NR,10 WILBERTON RD,,,ON
***11574,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0822,NR,286 MAIN ST,,,ON
***45629,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0822,NR,81 ST MARY ST,,,ON
***85285,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0822,NR,1794 DANFORTH AVE,,,ON
***14451,20100102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0823,,355 GERRARD ST E,,,PQ
***68473,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0823,OPP,2 SCOTT ST,,,ON
***68474,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0823,OPP,2 SCOTT ST,,,ON
***11575,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0823,NR,276b MAIN ST,,,ON
***56555,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0823,NR,15 MERCER ST,,,ON
***73597,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0823,NR,1341 QUEEN ST E,,,ON
***86072,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0823,NR,580 KING ST W,,,ON
***86565,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0823,NR,1237 KING ST W,,,ON
***87190,20100102,9,STOP HWY PROHIBITED TIME/DAY,60,0823,NR,533 ST CLAIR AVE W,,,ON
***88808,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0823,NR,240 JARVIS ST,,,ON
***68475,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0824,NR,2 SCOTT ST,,,OH
***07978,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0824,NR,30 WILBERTON RD,,,ON
***20132,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0824,NR,572 INDIAN GRV,,,ON
***11040,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0825,NR,461 EUCLID AVE,,,ON
***20133,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0825,NR,85 HOOK AVE,,,ON
***73598,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0825,NR,1477 QUEEN ST E,,,ON
***86073,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0825,NR,700 KING ST W,,,ON
***86566,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0825,NR,1218 KING ST W,,,ON
***86567,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0825,NR,1230 KING ST W,,,ON
***93794,20100102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0826,,790 BAY ST,,,ON
***68476,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0826,NR,66 THE ESPLANADE,,,ON
***75234,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0826,OPP,26 DALHOUSIE ST,,,ON
***84156,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0826,NR,403 DUNDAS ST W,,,BC
***11576,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0826,NR,152 MAIN ST,,,ON
***18964,20100102,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,0826,NR,197 HORSELEY HILL DR,,,ON
***73599,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0826,NR,1479 QUEEN ST E,,,ON
***85286,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0826,NR,1758 DANFORTH AVE,,,ON
***14452,20100102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0827,,355 GERRARD ST E,,,ON
***75235,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0827,OPP,26 DALHOUSIE ST,,,ON
***84157,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0827,NR,407 DUNDAS ST W,,,ON
***91146,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0827,NR,847 COLLEGE ST,,,ON
***56556,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0827,NR,144 FRONT ST W,,,ON
***86074,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0827,NR,766 KING ST W,,,ON
***88809,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0827,NR,241 CHURCH ST,,,ON
***64402,20100102,5,PARK-HWY PROHIB TIMES/DAYS,40,0828,NR,35 KING ST,,,ON
***68477,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0828,NR,140 THE ESPLANADE,,,QC
***68478,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0828,NR,140 THE ESPLANADE,,,ON
***84158,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0828,NR,413 DUNDAS ST W,,,ON
***73600,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0828,NR,1592 QUEEN ST E,,,ON
***85287,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0828,N/S,DANFORTH AVE,E/O,COXWELL AVE,ON
***75236,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0829,NR,75 DALHOUSIE ST,,,ON
***84159,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0829,NR,413 DUNDAS ST W,,,ON
***84160,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0829,NR,419 DUNDAS ST W,,,ON
***91147,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0829,NR,877 COLLEGE ST,,,ON
***18965,20100102,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,0829,NR,42 TUNMEAD SQ,,,ON
***45630,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0829,NR,83 ISABELLA ST,,,ON
***58100,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0829,NR,1871 WESTON RD,,,ON
***72703,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0829,NR,3 DU MAURIER BLVD,,,ON
***86075,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0829,NR,788 KING ST W,,,ON
***88810,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0829,OPP,325 CHURCH ST,,,ON
***42362,20100102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0830,,1021 BIRCHMOUNT RD,,,ON
***75237,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0830,OPP,155 DALHOUSIE ST,,,SK
***84161,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0830,NR,419 DUNDAS ST W,,,ON
***91148,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0830,NR,874 COLLEGE ST,,,ON
***72704,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0830,NR,3 DU MAURIER BLVD,,,ON
***73601,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0830,NR,3 RHODES AVE,,,ON
***91856,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0831,NR,80 WOLSELEY ST,,,ON
***75238,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0831,OPP,155 DALHOUSIE ST,,,ON
***84162,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0831,NR,421 DUNDAS ST W,,,ON
***91149,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0831,NR,880 COLLEGE ST,,,ON
***11577,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0831,NR,1032 KINGSTON RD,,,ON
***58101,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0831,OPP,1844 WESTON RD,,,ON
***58102,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0831,OPP,1844 WESTON RD,,,ON
***86076,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0831,NR,800 KING ST W,,,ON
***86568,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0831,NR,43 HANNA AVE,,,ON
***87191,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0831,NR,120 OLD FOREST HILL RD,,,ON
***88811,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0831,E/S,CHURCH ST,S/O,GRANBY ST,ON
***68479,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0832,NR,11 LOWER SHERBOURNE ST,,,NY
***75239,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0832,OPP,155 DALHOUSIE ST,,,ON
***75240,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0832,OPP,155 DALHOUSIE ST,,,ON
***91150,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0832,NR,884 COLLEGE ST,,,ON
***45631,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0832,NR,89 ISABELLA ST,,,ON
***63711,20100102,6,PARK-HWY-EXCESS PERMITTED TIME,30,0832,NR,367 KIPLING AVE,,,ON
***64994,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0832,OPP,54 GLENDALE AVE,,,ON
***86569,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0832,NR,43 HANNA AVE,,,ON
***42363,20100102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0833,,1021 BIRCHMOUNT RD,,,ON
***64403,20100102,5,PARK-HWY PROHIB TIMES/DAYS,40,0833,NR,49 HOLLEY AVE,,,ON
***84163,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0833,NR,421 DUNDAS ST W,,,ON
***85288,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0833,NR,1358 DANFORTH AVE,,,ON
***86077,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0833,NR,800 KING ST W,,,ON
***87192,20100102,8,STD VEH HWY PROHIB TIME/DAY,60,0833,NR,7 HILLTOP RD,,,ON
***88812,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0833,NR,497 CHURCH ST,,,ON
***91857,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0834,OPP,39 WOLSELEY ST,,,ON
***68480,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0834,N/S,THE ESPLANADE,E/O,LOWER SHERBOURNE ST,ON
***45632,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0834,NR,105 ISABELLA ST,,,ON
***56557,20100102,9,STOP HWY PROHIBITED TIME/DAY,60,0834,NR,10 QUEENS QUAY W,,,ON
***63712,20100102,6,PARK-HWY-EXCESS PERMITTED TIME,30,0834,NR,397 KIPLING AVE,,,ON
***85289,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0834,NR,1346 DANFORTH AVE,,,ON
***88813,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0834,NR,497 CHURCH ST,,,ON
***88814,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0834,NR,497 CHURCH ST,,,ON
***28110,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0835,NR,286 COXWELL AVE,,,ON
***85290,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0835,NR,1340 DANFORTH AVE,,,ON
***86570,20100102,8,STD VEH HWY PROHIB TIME/DAY,60,0835,NR,17 ATLANTIC AVE,,,ON
***75241,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0836,OPP,85 SHUTER ST,,,ON
***64995,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0836,OPP,32 GLENDALE AVE,,,ON
***85291,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0836,NR,1326 DANFORTH AVE,,,ON
***86571,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0836,NR,31 ATLANTIC AVE,,,ON
***20134,20100102,9,STOP HWY PROHIBITED TIME/DAY,60,0837,NR,276 WINDERMERE AVE,,,ON
***56558,20100102,5,PARK HWY PROHIBED TIME/DAY,40,0837,NR,208 QUEENS QUAY W,,,ON
***68481,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0838,NR,110 GEORGE ST S,,,ON
***91151,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0838,NR,959 COLLEGE ST,,,ON
***64996,20100102,29,PARK PROHIBITED TIME NO PERMIT,30,0838,OPP,24 GLENDALE AVE,,,ON
***85292,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0838,OPP,1225 DANFORTH AVE,,,ON
***86572,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0838,NR,24 JEFFERSON AVE,,,ON
***68482,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0839,NR,110 GEORGE ST S,,,ON
***18966,20100102,337,PARK - ON BOULEVARD,50,0839,NR,47 TROTT SQ,,,ON
***20135,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0839,NR,2352 BLOOR ST W,,,ON
***45633,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0839,OPP,30 ISABELLA ST,,,ON
***56559,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0839,NR,1 ROBERTSON CRES,,,QC
***85293,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0839,OPP,1225 DANFORTH AVE,,,ON
***86573,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0839,NR,24 JEFFERSON AVE,,,ON
***88815,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0839,OPP,638 CHURCH ST,,,ON
***14453,20100102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0840,,260 SUMACH ST,,,ON
***42364,20100102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0840,,1021 BIRCHMOUNT RD,,,ON
***64997,20100102,336,PARK-FAIL TO DISPLAY PERMIT,30,0840,NR,16 CLAUDE AVE,,,ON
***88816,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0840,OPP,638 CHURCH ST,,,ON
***20136,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0841,NR,2380 BLOOR ST W,,,ON
***20137,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0841,NR,2384 BLOOR ST W,,,ON
***45634,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0841,NR,55 ISABELLA ST,,,ON
***56560,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0841,NR,1 ROBERTSON CRES,,,ON
***85294,20100102,210,PARK FAIL TO DISPLAY RECEIPT,30,0841,NR,1078 DANFORTH AVE,,,ON
***14454,20100102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0842,,260 SUMACH ST,,,ON
