tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***66667,20100103,210,PARK FAIL TO DISPLAY RECEIPT,30,1008,S/S,MORTIMER AVE,W/O,KNIGHT ST,ON
***21566,20100103,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1008,NR,85 RICHMOND ST W,,,ON
***87230,20100103,8,STAND VEH-HWY-PROH TIME/DAYS,60,1008,NR,1775 EGLINTON AVE W,,,ON
***87231,20100103,8,STAND VEH-HWY-PROH TIME/DAYS,60,1009,NR,1775 EGLINTON AVE W,,,ON
***56302,20100103,6,PARK HWY IN EXCESS PRMTD TIME,30,1011,NR,79 KEEWATIN AVE,,,ON
***41280,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1012,,1021 BIRCHMOUNT RD,,,ON
***21173,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1012,NR,1180 ST CLAIR AVE W,,,ON
***36747,20100103,2,PARK LONGER THAN 3 HOURS,15,1012,S/S,ADANAC DR,W/O,MASON RD,ON
***41281,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1013,,1021 BIRCHMOUNT RD,,,ON
***91881,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1013,NR,23 LIPPINCOTT ST,,,ON
***56634,20100103,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1013,NR,120 ADELAIDE ST W,,,ON
***21567,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1014,N/S,SHUTER ST,W/O,CHURCH ST,ON
***41282,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1015,,1021 BIRCHMOUNT RD,,,ON
***11074,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,1015,NR,38 RUSSELL ST,,,ON
***11075,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1016,NR,322 COLLEGE ST,,,ON
***17690,20100103,347,PARK IN A FIRE ROUTE,250,1019,AT,25 CANYON AVE,,,ON
***21568,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1019,OPP,135 GEORGE ST S,,,ON
***46060,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1019,NR,155 SHERBOURNE ST,,,ON
***51541,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1020,,295 SHUTER ST,,,ON
***17691,20100103,347,PARK IN A FIRE ROUTE,250,1020,AT,25 CANYON AVE,,,ON
***21569,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1021,NR,119 FRONT ST E,,,ON
***19478,20100103,341,PARK - FR YARD NO VALID PLATES,50,1022,,260 SCARLETT RD,,,ON
***17692,20100103,366,PARK ON-ST DISABLD LDG NO PRMT,450,1022,OPP,100 CANYON AVE,,,ON
